GO Term,Name,PageRank,Symbol,GSE73471.top.table_GeneID,GSE73471.top.table_padj,GSE73471.top.table_pvalue,GSE73471.top.table_lfcSE,GSE73471.top.table_stat,GSE73471.top.table_log2FoldChange,GSE73471.top.table_baseMean,GSE73471.top.table_Description
GO:0030544,Hsp70 protein binding,5.236533664715738e-06,,,,,,,,,
,,,DNAJA1,3301.0,3.6000000000000003e-29,6.95e-32,0.1678,11.7513102,1.97166289,40168.19,DnaJ heat shock protein family (Hsp40) member A1
,,,DNAJB12,54788.0,7.33e-05,2.21e-06,0.1505,-4.7333441,-0.71236616,1705.08,DnaJ heat shock protein family (Hsp40) member B12
,,,GPR37,2861.0,0.000436,1.68e-05,0.4256,4.303403,1.83150453,440.23,G protein-coupled receptor 37
,,,TFRC,7037.0,0.000624,2.6e-05,0.2307,-4.2063646,-0.97034723,18285.2,transferrin receptor
,,,DNAJB2,3300.0,0.00254,0.000135,0.4333,3.8168091,1.65387056,3714.82,DnaJ heat shock protein family (Hsp40) member B2
,,,DNAJB6,10049.0,0.00413,0.00024,0.229,3.672457,0.8410565,7260.41,DnaJ heat shock protein family (Hsp40) member B6
,,,RPS3,6188.0,0.0288,0.00282,0.211,2.9871324,0.63039221,61528.49,ribosomal protein S3
,,,DNAJB1,3337.0,0.0398,0.00435,1.5823,2.8515098,4.51186624,95246.44,DnaJ heat shock protein family (Hsp40) member B1
,,,STAU2,27067.0,0.0566,0.00696,0.1617,2.6989645,0.43640556,1378.72,staufen double-stranded RNA binding protein 2
,,,HIKESHI,51501.0,0.0793,0.0108,0.4135,2.5475271,1.05345644,2887.08,heat shock protein nuclear import factor hikeshi
,,,METTL21A,151194.0,0.0865,0.0122,0.3844,2.5057999,0.96321356,656.92,"methyltransferase 21A, HSPA lysine"
,,,DNAJC18,202052.0,0.18,0.0352,0.2114,-2.105795,-0.44519687,737.9,DnaJ heat shock protein family (Hsp40) member C18
,,,CYP2E1,1571.0,0.235,0.0523,0.6436,-1.9403049,-1.2488115,18.91,cytochrome P450 family 2 subfamily E member 1
,,,BAG6,7917.0,0.282,0.0698,0.1149,1.8129755,0.20828162,7648.43,BAG cochaperone 6
